DU25
1.0 0.0021
0.986 0.0062
0.971 0.0103
0.9549 0.0145
0.9378 0.019
0.9196 0.0236
0.9004 0.0285
0.8801 0.0336
0.8588 0.0389
0.8365 0.0445
0.8131 0.0502
0.7886 0.0562
0.7631 0.0623
0.7367 0.0686
0.71 0.0748
0.6833 0.0808
0.6567 0.0867
0.63 0.0923
0.6033 0.0978
0.5767 0.1029
0.55 0.1077
0.5233 0.1122
0.4967 0.1163
0.47 0.1199
0.4433 0.123
0.4167 0.1255
0.39 0.1274
0.3633 0.1285
0.3367 0.1285
0.31 0.1275
0.2833 0.1254
0.2567 0.1222
0.2305 0.1182
0.2058 0.1134
0.1824 0.108
0.1605 0.1022
0.14 0.0959
0.1209 0.0893
0.1032 0.0825
0.0868 0.0755
0.0719 0.0683
0.0584 0.0611
0.0463 0.0539
0.0356 0.0468
0.0263 0.0398
0.0184 0.0329
0.0119 0.0264
0.0068 0.0201
0.0031 0.0141
0.0008 0.0077
0.0002 -0.0036
0.0018 -0.0117
0.0048 -0.0192
0.0092 -0.0265
0.015 -0.0339
0.0222 -0.0415
0.0308 -0.0492
0.0408 -0.0568
0.0522 -0.0642
0.065 -0.0714
0.0792 -0.0784
0.0948 -0.0853
0.1118 -0.0918
0.1303 -0.098
0.1501 -0.1038
0.1713 -0.1089
0.194 -0.1134
0.218 -0.1171
0.2434 -0.1199
0.27 -0.1217
0.2967 -0.1223
0.3233 -0.1219
0.35 -0.1203
0.3767 -0.1178
0.4033 -0.1144
0.43 -0.1101
0.4567 -0.1047
0.4833 -0.0985
0.51 -0.0914
0.5367 -0.0837
0.5633 -0.0753
0.59 -0.0664
0.6167 -0.0571
0.6433 -0.0477
0.67 -0.0382
0.6967 -0.029
0.7233 -0.0203
0.75 -0.0122
0.776 -0.0053
0.801 0.0002
0.8249 0.0044
0.8478 0.0074
0.8696 0.0091
0.8904 0.0098
0.9101 0.0096
0.9288 0.0084
0.9465 0.0066
0.9631 0.0043
0.9786 0.0017
0.9931 -0.0009
